testing_enrolled,location_id,assessment_centre,location_name,operated_by,city,address,address_fr,postal_code,province,latitude,longitude,phu,phone,website,monday,tuesday,wednesday,thursday,friday,appointments,phone_appointments,symptomatic,drive_through,accessible,additional_information,saturday,sunday,online_appointments,walk_ins,children_under_2,age_threshold,public_transit,additional_information_fr,location_name_fr,french_language_services,free_parking,weeks_pregnant,general_population,asl_interpretation,email,first_nations,community_lab,vaccine_enrolled,pharmacy
1.0,1,1.0,Blanche River Health-Kirkland,Blanche River Health (Kirkland Lake site),Kirkland Lake,145 Government Road East,145 chemin Government Est,P2N 3P4,ON,48.153552,-80.014725,Timiskaming Health Unit,705-568-2127,http://www.blancheriverhealth.ca/brh_website/,09:00-13:00,09:00-13:00,09:00-13:00,09:00-13:00,09:00-13:00,1.0,1.0,1.0,1.0,1.0,"Please call to schedule an appointment. After hours, please call the hospital in advance for instructions. No walk-ins at the Emergency Department please.",,,,,,,,,,,,,,,,,,,
,2,1.0,South Georgian Bay Regional Assessment Centre,Georgian Bay Family Health Team,Collingwood,490 Ontario Street,,L9Y 1N6,ON,44.503928,-80.201516,Simcoe Muskoka District Health Unit,,https://chlscheduling.as.me/schedule.php,09:00-16:00,,09:00-16:00,,09:00-16:00,1.0,,1.0,1.0,1.0,"Entrance off of Erie Street, Located in the back parking lot of the Royal Canadian Legion. 

-	Book appointment at website 

-	Drive-through available

-	Free parking

-	Near public transit

-	Accommodates wheelchairs and mobility devices



For testing eligibility and information please visit: https://southgeorgianbayoht.ca/information-testing/",closed,closed,https://chlscheduling.as.me/schedule.php,1.0,1.0,6m,1.0,"Situé dans la tente dans le stationnement de l’Équipe de Santé Familiale, à côté de l’hôpital.",,,,,,,,,,,
,3,1.0,Midland Assessment Centre,Georgian Bay General Hospital,Midland,1156 St. Andrews Drive,,L4R 4P4,ON,44.74184,-79.912455,Simcoe Muskoka District Health Unit,705-529-1025,https://gbgh.on.ca/covid-19-booking/,07:00-18:00,,07:00-15:00,07:00-15:00,07:00-15:00,1.0,,1.0,,1.0,Please call to schedule an appointment after completing the self-assessment tool on the hospital's website. Appointments for swabbing can be booked via phone by calling 705-529-1025 Monday to Friday 08:00 am to 6:00 pm.  Follow signs/directional signs to the entrance. Clients will see a greeter at the door when they pull up into the parking lot,,,,,1.0,0m,1.0,,Midland Assessment Centre,1.0,1.0,,,,,,,,
,4,1.0,COVID-19 Testing Clinic Milton,FH Health,Milton,725 Bronte Street South,725 rue Bronte Sud,L9T 9K1,ON,43.497418,-79.868476,Halton Region Health Department,437-826-2118,http://www.fhhealth.com/pho,09:00-17:00,09:00-17:00,09:00-17:00,11:00-19:00,09:00-17:00,1.0,,1.0,,1.0,Located at Milton District Hospital. Free parking available in Lots 2 and 3. Appointment only.,11:00-19:00,,http://www.fhhealth.com/pho,,,2m,1.0,,Hôpital du district de Milton,,1.0,,,,,,,,
1.0,5,1.0,Oakville Trafalgar Memorial Hospital,Halton Healthcare Services,Oakville,3001 Hospital Gate,3001 Hospital Gate,L6M 0L8,ON,43.450869,-79.763927,Halton Region Health Department,905-203-7963,https://www.haltonhealthcare.on.ca/,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,1.0,1.0,1.0,,1.0,Please call to schedule an appointment. Arrive at scheduled time (no more than 5 minutes early) to the South Entrance of Oakville Trafalgar Memorial Hospital. This is the entrance facing Dundas Street and is marked with multi-coloured flags. Do not enter via the Emergency Department. Further specific details are provided when appointment is booked.,closed,closed,https://www.haltonhealthcare.on.ca/covid-19-info/booking-a-test,,1.0,0m,1.0,,Oakville Trafalger Memorial Hospital,,1.0,,,,,,,,
,6,1.0,Georgetown Pop-up Testing,,Georgetown,1 Princess Anne Drive,1 chemin Princess Anne,L7G 2B8,ON,43.644985,-79.933321,Halton Region Health Department,,http://www.drivercheck.ca/ontariohealth,09:00-17:00,,15:00-19:00,,15:00-19:00,1.0,,1.0,,1.0,Parking in the main Parking Lot. Enter the Clinic through the South Entrance of the Hospital.,09:00-17:00,09:00-17:00,https://www.haltonhealthcare.on.ca/covid-19-info/booking-a-test,,1.0,0m,1.0,,Hôpital de Georgetown,,1.0,,,,,,,,
,7,1.0,Headwaters Health Care Centre,Headwaters Health Care Centre,Orangeville,100 Rolling Hills Drive,100 chemin Rolling Hills,L9W 4X9,ON,43.920776,-80.072523,Wellington-Dufferin-Guelph Health Unit,833-442-2001,https://www.headwatershealth.ca/,10:00-18:00,12:00-20:00,10:00-18:00,12:00-20:00,10:00-14:00,1.0,1.0,1.0,,,"Please call 1-833-442-2001 between the hours of 8:30 am and 4:30 pm daily to book an appointment.  Located beside the Emergency Department.  Last patient is seen at 9:40 pm.  For children under 2 years of age and requiring COVID-19 testing, please visit the Emergency Department. 

Appointment and location details: Appointment only.  Call or go online at www.headwatershealth.ca to book an appointment.  No drive through available.  Near public transit.",,,,,,2y,1.0,,Headwaters Health Care Centre,,,,,,,,,,
1.0,8,1.0,MacKenzie Health,MacKenzie Health,Richmond Hill,10 Trench Street,10 rue Trench,L4C 4Z3,ON,43.870017,-79.450278,York Region Public Health Services,905-883-1212 ext. 2004,https://www.mackenziehealth.ca/en/index.aspx,09:00-20:30,09:00-20:30,09:00-20:30,09:00-20:30,09:00-20:30,1.0,,1.0,,,"Please call to schedule an appointment after completing the self-assessment tool on the Mackenzie Health website.

Provides clinical assessment (can assess, test, and provide treatment options for COVID-19)",09:00-20:30,09:00-20:30,,,1.0,6m,,,MacKenzie Health,,,20,,,,,,,
1.0,9,1.0,Markham Stouffville Hospital,Markham Stouffville Hospital,Markham,381 Church Street,381 rue Church,L3P 7P3,ON,43.884138,-79.231961,York Region Public Health Services,,https://care-clinics.ca/,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,1.0,,1.0,,1.0,"To get tested at Markham Stouffville Hospital’s COVID-19 Assessment Centre you must meet To get tested at Markham Stouffville Hospital’s COVID-19, Cold and Flu Care Clinic you must meet current OH guidance for screening and REGISTER online to book an appointment at https://care-clinics.ca/. We swab all ages at the clinic.current OH guidance for screening and REGISTER online to book an appointment at https://www.msh.on.ca/clinics-departments/covid-19-assessment-centre#registration
 We do swab all ages at our assessment center.",09:00-17:00,09:00-17:00,https://care-clinics.ca/,,1.0,0m,1.0,,Hôpital de Markham-Stouffville,,,,,,,,,,
,10,1.0,Bracebridge Rotary Centre,Muskoka Algonquin Healthcare,Bracebridge,131 Wellington Street,131 rue Wellington,P1L 1E2,ON,45.037419,-79.318023,Simcoe Muskoka District Health Unit,888-383-7009,https://www.mahc.ca/en/services/covid19.aspx#,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,1.0,,1.0,1.0,1.0,,closed,closed,,,1.0,0m,,,Bracebridge Rotary Centre,,1.0,,1.0,,,,,,
